Что,Артикул,Цена,Количество,Ссылка,Химки,Теплый Стан,Белая Дача
Шкаф в маленькой комнате,,,,,,,
"Штанга платяная, белый, 75 см",103.665.98,300,2,https://www.ikea.com/ru/ru/p/-10366598/,130,330,113
"Подсветка светодиодная, цвет алюминия, 67 см",003.561.80,1500,2,https://www.ikea.com/ru/ru/p/norrfly-norrfli-podsvetka-svetodiodnaya-cvet-alyuminiya-00356180/,45,87,36
"Рама д/раздв дврц, с направл, 2 шт, алюминий, 150x236 см",603.665.72,11000,2,https://www.ikea.com/ru/ru/p/pax-paks-rama-d-razdv-dvrc-s-napravl-2-sht-alyuminiy-60366572/,379,330,37
"4 панели д/рамы раздвижной дверцы, глянцевый светло-бежевый, 75x236 см",803.738.16,5000,4,https://www.ikea.com/ru/ru/p/hokksund-hokksund-4-paneli-d-ramy-razdvizhnoy-dvercy-glyancevyy-svetlo-bezhevyy-80373816/,191,69,92
Устройство для плавного закрывания,004.437.76,3000,2,https://www.ikea.com/ru/ru/p/komplement-kompliment-ustroystvo-dlya-plavnogo-zakryvaniya-00443776/,87,118,0
Шкаф в прихожей,,,,https://api.dexf.ikea.com/vpc/v1/configurations/retailunit/RU/locale/ru-RU/JMBPM9/redirect?type=email&linkType=deeplink,,,
"Каркас гардероба, под беленый дуб, 50x35x236 см",602.469.71,2800,1,https://www.ikea.com/ru/ru/p/pax-paks-karkas-garderoba-pod-belenyy-dub-60246971/,106,18,0
"Полка, под беленый дуб, 100x58 см",502.779.82,550,3,https://www.ikea.com/ru/ru/p/komplement-kompliment-polka-pod-belenyy-dub-50277982/,158,520,184
"Рама д/раздв дврц, с направл, 2 шт, алюминий, 200x236 см",903.665.75,12000,1,https://www.ikea.com/ru/ru/p/pax-paks-rama-d-razdv-dvrc-s-napravl-2-sht-alyuminiy-90366575/,136,38,69
Устройство для плавного закрывания,004.437.76,3000,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-ustroystvo-dlya-plavnogo-zakryvaniya-00443776//,87,118,0
"4 панели д/рамы раздвижной дверцы, глянцевый светло-серый, 100x236 см",203.823.43,6000,2,https://www.ikea.com/ru/ru/p/hokksund-hokksund-4-paneli-d-ramy-razdvizhnoy-dvercy-glyancevyy-svetlo-seryy-90382349/,54,15,37
"(Нет)Сетчатая корзина, темно-серый, 100x58 см",004.014.89,1300,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-setchataya-korzina-temno-seryy-00401489/,0,0,0
"Сетчатая корзина, белый, 100x58 см",804.014.90,1300,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-setchataya-korzina-belyy-80401490/#content,0,0,0
"(Нет)Направляющие для корзин, темно-серый, 58 см",503.666.43,300,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-napravlyayushchie-dlya-korzin-temno-seryy-50366643/,310,91,281
"Направляющие для корзин, белый, 58 см",303.666.44,300,1,https://www.ikea.com/ru/ru/p/komplement-kompliment-napravlyayushchie-dlya-korzin-belyy-30366644/#content,530,1219,487
"Полка, под беленый дуб, 50x35 см",202.799.54,300,5,,378,204,212
"Полка, под беленый дуб, 50x58 см",302.779.78,350,1,,0,33,41
"(Нет)Направляющие для корзин, темно-серый, 35 см",803.697.44,250,4,,0,3,0
"(Нет)Сетчатая корзина, темно-серый, 50x35 см",604.014.91,600,4,,0,0,0
Шкаф в большую комнату,,,,https://api.dexf.ikea.com/vpc/v1/configurations/retailunit/RU/locale/ru-RU/JKTKDQ/redirect?type=email&linkType=deeplink,,,
"Каркас гардероба, под беленый дуб, 100x58x236 см",902.131.82,4200,1,,55,73,91
